Date,Inflator
1/01/2014,123.70%
2/01/2014,123.69%
3/01/2014,123.68%
4/01/2014,123.67%
5/01/2014,123.66%
6/01/2014,123.65%
7/01/2014,123.65%
8/01/2014,123.64%
9/01/2014,123.63%
10/01/2014,123.62%
11/01/2014,123.61%
12/01/2014,123.60%
13/01/2014,123.59%
14/01/2014,123.58%
15/01/2014,123.58%
16/01/2014,123.57%
17/01/2014,123.56%
18/01/2014,123.55%
19/01/2014,123.54%
20/01/2014,123.53%
21/01/2014,123.52%
22/01/2014,123.51%
23/01/2014,123.51%
24/01/2014,123.50%
25/01/2014,123.49%
26/01/2014,123.48%
27/01/2014,123.47%
28/01/2014,123.46%
29/01/2014,123.45%
30/01/2014,123.45%
31/01/2014,123.44%
1/02/2014,123.43%
2/02/2014,123.42%
3/02/2014,123.41%
4/02/2014,123.40%
5/02/2014,123.39%
6/02/2014,123.38%
7/02/2014,123.38%
8/02/2014,123.37%
9/02/2014,123.36%
10/02/2014,123.35%
11/02/2014,123.34%
12/02/2014,123.33%
13/02/2014,123.32%
14/02/2014,123.31%
15/02/2014,123.31%
16/02/2014,123.30%
17/02/2014,123.29%
18/02/2014,123.28%
19/02/2014,123.27%
20/02/2014,123.26%
21/02/2014,123.25%
22/02/2014,123.24%
23/02/2014,123.24%
24/02/2014,123.23%
25/02/2014,123.22%
26/02/2014,123.21%
27/02/2014,123.20%
28/02/2014,123.19%
1/03/2014,123.18%
2/03/2014,123.18%
3/03/2014,123.17%
4/03/2014,123.16%
5/03/2014,123.15%
6/03/2014,123.14%
7/03/2014,123.13%
8/03/2014,123.12%
9/03/2014,123.11%
10/03/2014,123.11%
11/03/2014,123.10%
12/03/2014,123.09%
13/03/2014,123.08%
14/03/2014,123.07%
15/03/2014,123.06%
16/03/2014,123.05%
17/03/2014,123.04%
18/03/2014,123.04%
19/03/2014,123.03%
20/03/2014,123.02%
21/03/2014,123.01%
22/03/2014,123.00%
23/03/2014,122.99%
24/03/2014,122.98%
25/03/2014,122.98%
26/03/2014,122.97%
27/03/2014,122.96%
28/03/2014,122.95%
29/03/2014,122.94%
30/03/2014,122.93%
31/03/2014,122.92%
1/04/2014,122.91%
2/04/2014,122.91%
3/04/2014,122.90%
4/04/2014,122.89%
5/04/2014,122.88%
6/04/2014,122.87%
7/04/2014,122.86%
8/04/2014,122.85%
9/04/2014,122.85%
10/04/2014,122.84%
11/04/2014,122.83%
12/04/2014,122.82%
13/04/2014,122.81%
14/04/2014,122.80%
15/04/2014,122.80%
16/04/2014,122.79%
17/04/2014,122.78%
18/04/2014,122.77%
19/04/2014,122.76%
20/04/2014,122.75%
21/04/2014,122.74%
22/04/2014,122.74%
23/04/2014,122.73%
24/04/2014,122.72%
25/04/2014,122.71%
26/04/2014,122.70%
27/04/2014,122.69%
28/04/2014,122.68%
29/04/2014,122.68%
30/04/2014,122.67%
1/05/2014,122.66%
2/05/2014,122.65%
3/05/2014,122.64%
4/05/2014,122.63%
5/05/2014,122.62%
6/05/2014,122.62%
7/05/2014,122.61%
8/05/2014,122.60%
9/05/2014,122.59%
10/05/2014,122.58%
11/05/2014,122.57%
12/05/2014,122.57%
13/05/2014,122.56%
14/05/2014,122.55%
15/05/2014,122.54%
16/05/2014,122.53%
17/05/2014,122.52%
18/05/2014,122.51%
19/05/2014,122.51%
20/05/2014,122.50%
21/05/2014,122.49%
22/05/2014,122.48%
23/05/2014,122.47%
24/05/2014,122.46%
25/05/2014,122.45%
26/05/2014,122.45%
27/05/2014,122.44%
28/05/2014,122.43%
29/05/2014,122.42%
30/05/2014,122.41%
31/05/2014,122.40%
1/06/2014,122.40%
2/06/2014,122.39%
3/06/2014,122.38%
4/06/2014,122.37%
5/06/2014,122.36%
6/06/2014,122.35%
7/06/2014,122.34%
8/06/2014,122.34%
9/06/2014,122.33%
10/06/2014,122.32%
11/06/2014,122.31%
12/06/2014,122.30%
13/06/2014,122.29%
14/06/2014,122.28%
15/06/2014,122.28%
16/06/2014,122.27%
17/06/2014,122.26%
18/06/2014,122.25%
19/06/2014,122.24%
20/06/2014,122.23%
21/06/2014,122.23%
22/06/2014,122.22%
23/06/2014,122.21%
24/06/2014,122.20%
25/06/2014,122.19%
26/06/2014,122.18%
27/06/2014,122.17%
28/06/2014,122.17%
29/06/2014,122.16%
30/06/2014,122.15%
1/07/2014,122.14%
2/07/2014,122.14%
3/07/2014,122.14%
4/07/2014,122.13%
5/07/2014,122.13%
6/07/2014,122.13%
7/07/2014,122.12%
8/07/2014,122.12%
9/07/2014,122.12%
10/07/2014,122.12%
11/07/2014,122.11%
12/07/2014,122.11%
13/07/2014,122.11%
14/07/2014,122.10%
15/07/2014,122.10%
16/07/2014,122.10%
17/07/2014,122.10%
18/07/2014,122.09%
19/07/2014,122.09%
20/07/2014,122.09%
21/07/2014,122.08%
22/07/2014,122.08%
23/07/2014,122.08%
24/07/2014,122.08%
25/07/2014,122.07%
26/07/2014,122.07%
27/07/2014,122.07%
28/07/2014,122.07%
29/07/2014,122.06%
30/07/2014,122.06%
31/07/2014,122.06%
1/08/2014,122.05%
2/08/2014,122.05%
3/08/2014,122.05%
4/08/2014,122.05%
5/08/2014,122.04%
6/08/2014,122.04%
7/08/2014,122.04%
8/08/2014,122.03%
9/08/2014,122.03%
10/08/2014,122.03%
11/08/2014,122.03%
12/08/2014,122.02%
13/08/2014,122.02%
14/08/2014,122.02%
15/08/2014,122.02%
16/08/2014,122.01%
17/08/2014,122.01%
18/08/2014,122.01%
19/08/2014,122.00%
20/08/2014,122.00%
21/08/2014,122.00%
22/08/2014,122.00%
23/08/2014,121.99%
24/08/2014,121.99%
25/08/2014,121.99%
26/08/2014,121.98%
27/08/2014,121.98%
28/08/2014,121.98%
29/08/2014,121.98%
30/08/2014,121.97%
31/08/2014,121.97%
1/09/2014,121.97%
2/09/2014,121.97%
3/09/2014,121.96%
4/09/2014,121.96%
5/09/2014,121.96%
6/09/2014,121.95%
7/09/2014,121.95%
8/09/2014,121.95%
9/09/2014,121.95%
10/09/2014,121.94%
11/09/2014,121.94%
12/09/2014,121.94%
13/09/2014,121.93%
14/09/2014,121.93%
15/09/2014,121.93%
16/09/2014,121.93%
17/09/2014,121.92%
18/09/2014,121.92%
19/09/2014,121.92%
20/09/2014,121.92%
21/09/2014,121.91%
22/09/2014,121.91%
23/09/2014,121.91%
24/09/2014,121.90%
25/09/2014,121.90%
26/09/2014,121.90%
27/09/2014,121.90%
28/09/2014,121.89%
29/09/2014,121.89%
30/09/2014,121.89%
1/10/2014,121.88%
2/10/2014,121.88%
3/10/2014,121.88%
4/10/2014,121.88%
5/10/2014,121.87%
6/10/2014,121.87%
7/10/2014,121.87%
8/10/2014,121.87%
9/10/2014,121.86%
10/10/2014,121.86%
11/10/2014,121.86%
12/10/2014,121.85%
13/10/2014,121.85%
14/10/2014,121.85%
15/10/2014,121.85%
16/10/2014,121.84%
17/10/2014,121.84%
18/10/2014,121.84%
19/10/2014,121.83%
20/10/2014,121.83%
21/10/2014,121.83%
22/10/2014,121.83%
23/10/2014,121.82%
24/10/2014,121.82%
25/10/2014,121.82%
26/10/2014,121.82%
27/10/2014,121.81%
28/10/2014,121.81%
29/10/2014,121.81%
30/10/2014,121.80%
31/10/2014,121.80%
1/11/2014,121.80%
2/11/2014,121.80%
3/11/2014,121.79%
4/11/2014,121.79%
5/11/2014,121.79%
6/11/2014,121.79%
7/11/2014,121.78%
8/11/2014,121.78%
9/11/2014,121.78%
10/11/2014,121.77%
11/11/2014,121.77%
12/11/2014,121.77%
13/11/2014,121.77%
14/11/2014,121.76%
15/11/2014,121.76%
16/11/2014,121.76%
17/11/2014,121.75%
18/11/2014,121.75%
19/11/2014,121.75%
20/11/2014,121.75%
21/11/2014,121.74%
22/11/2014,121.74%
23/11/2014,121.74%
24/11/2014,121.74%
25/11/2014,121.73%
26/11/2014,121.73%
27/11/2014,121.73%
28/11/2014,121.72%
29/11/2014,121.72%
30/11/2014,121.72%
1/12/2014,121.72%
2/12/2014,121.71%
3/12/2014,121.71%
4/12/2014,121.71%
5/12/2014,121.70%
6/12/2014,121.70%
7/12/2014,121.70%
8/12/2014,121.70%
9/12/2014,121.69%
10/12/2014,121.69%
11/12/2014,121.69%
12/12/2014,121.69%
13/12/2014,121.68%
14/12/2014,121.68%
15/12/2014,121.68%
16/12/2014,121.67%
17/12/2014,121.67%
18/12/2014,121.67%
19/12/2014,121.67%
20/12/2014,121.66%
21/12/2014,121.66%
22/12/2014,121.66%
23/12/2014,121.65%
24/12/2014,121.65%
25/12/2014,121.65%
26/12/2014,121.65%
27/12/2014,121.64%
28/12/2014,121.64%
29/12/2014,121.64%
30/12/2014,121.64%
31/12/2014,121.63%
1/01/2015,121.63%
2/01/2015,121.63%
3/01/2015,121.62%
4/01/2015,121.62%
5/01/2015,121.61%
6/01/2015,121.61%
7/01/2015,121.60%
8/01/2015,121.60%
9/01/2015,121.60%
10/01/2015,121.59%
11/01/2015,121.59%
12/01/2015,121.58%
13/01/2015,121.58%
14/01/2015,121.58%
15/01/2015,121.57%
16/01/2015,121.57%
17/01/2015,121.56%
18/01/2015,121.56%
19/01/2015,121.55%
20/01/2015,121.55%
21/01/2015,121.55%
22/01/2015,121.54%
23/01/2015,121.54%
24/01/2015,121.53%
25/01/2015,121.53%
26/01/2015,121.52%
27/01/2015,121.52%
28/01/2015,121.52%
29/01/2015,121.51%
30/01/2015,121.51%
31/01/2015,121.50%
1/02/2015,121.50%
2/02/2015,121.49%
3/02/2015,121.49%
4/02/2015,121.49%
5/02/2015,121.48%
6/02/2015,121.48%
7/02/2015,121.47%
8/02/2015,121.47%
9/02/2015,121.47%
10/02/2015,121.46%
11/02/2015,121.46%
12/02/2015,121.45%
13/02/2015,121.45%
14/02/2015,121.44%
15/02/2015,121.44%
16/02/2015,121.44%
17/02/2015,121.43%
18/02/2015,121.43%
19/02/2015,121.42%
20/02/2015,121.42%
21/02/2015,121.41%
22/02/2015,121.41%
23/02/2015,121.41%
24/02/2015,121.40%
25/02/2015,121.40%
26/02/2015,121.39%
27/02/2015,121.39%
28/02/2015,121.39%
1/03/2015,121.38%
2/03/2015,121.38%
3/03/2015,121.37%
4/03/2015,121.37%
5/03/2015,121.36%
6/03/2015,121.36%
7/03/2015,121.36%
8/03/2015,121.35%
9/03/2015,121.35%
10/03/2015,121.34%
11/03/2015,121.34%
12/03/2015,121.33%
13/03/2015,121.33%
14/03/2015,121.33%
15/03/2015,121.32%
16/03/2015,121.32%
17/03/2015,121.31%
18/03/2015,121.31%
19/03/2015,121.30%
20/03/2015,121.30%
21/03/2015,121.30%
22/03/2015,121.29%
23/03/2015,121.29%
24/03/2015,121.28%
25/03/2015,121.28%
26/03/2015,121.28%
27/03/2015,121.27%
28/03/2015,121.27%
29/03/2015,121.26%
30/03/2015,121.26%
31/03/2015,121.25%
1/04/2015,121.25%
2/04/2015,121.24%
3/04/2015,121.23%
4/04/2015,121.22%
5/04/2015,121.21%
6/04/2015,121.19%
7/04/2015,121.18%
8/04/2015,121.17%
9/04/2015,121.16%
10/04/2015,121.15%
11/04/2015,121.14%
12/04/2015,121.13%
13/04/2015,121.12%
14/04/2015,121.11%
15/04/2015,121.10%
16/04/2015,121.08%
17/04/2015,121.07%
18/04/2015,121.06%
19/04/2015,121.05%
20/04/2015,121.04%
