Grade,Occ_Class,Jurisdiction,Salary,Date
1.1,Junior Officer,ACT,44366,9/04/2015
1.2,Junior Officer,ACT,45781,9/04/2015
1.3,Junior Officer,ACT,46966,9/04/2015
1.4,Junior Officer,ACT,48805,9/04/2015
2.1,Junior Officer,ACT,49927,9/04/2015
2.2,Junior Officer,ACT,51240,9/04/2015
2.3,Junior Officer,ACT,52531,9/04/2015
2.4,Junior Officer,ACT,53836,9/04/2015
2.5,Junior Officer,ACT,55130,9/04/2015
3.1,Junior Officer,ACT,56568,9/04/2015
3.2,Junior Officer,ACT,57983,9/04/2015
3.3,Junior Officer,ACT,59394,9/04/2015
3.4,Junior Officer,ACT,60880,9/04/2015
4.1,Junior Officer,ACT,62802,9/04/2015
4.2,Junior Officer,ACT,64728,9/04/2015
4.3,Junior Officer,ACT,66354,9/04/2015
4.4,Junior Officer,ACT,68002,9/04/2015
5.1,Officer,ACT,69797,9/04/2015
5.2,Officer,ACT,71913,9/04/2015
5.3,Officer,ACT,73881,9/04/2015
6.1,Senior Officer,ACT,75209,9/04/2015
6.2,Senior Officer,ACT,77031,9/04/2015
6.3,Senior Officer,ACT,79080,9/04/2015
6.4,Senior Officer,ACT,82947,9/04/2015
6.5,Senior Officer,ACT,86075,9/04/2015
SOGA1,Manager,ACT,129470,9/04/2015
SOGB1,Manager,ACT,111478,9/04/2015
SOGB2,Manager,ACT,117241,9/04/2015
SOGB3,Manager,ACT,125497,9/04/2015
SOGC1,Principal Officer,ACT,94653,9/04/2015
SOGC2,Principal Officer,ACT,101888,9/04/2015
1.1,Junior Officer,ACT,44366,7/10/2015
1.2,Junior Officer,ACT,45781,7/10/2015
1.3,Junior Officer,ACT,46966,7/10/2015
1.4,Junior Officer,ACT,48805,7/10/2015
2.1,Junior Officer,ACT,49927,7/10/2015
2.2,Junior Officer,ACT,51240,7/10/2015
2.3,Junior Officer,ACT,52531,7/10/2015
2.4,Junior Officer,ACT,53836,7/10/2015
2.5,Junior Officer,ACT,55130,7/10/2015
3.1,Junior Officer,ACT,56568,7/10/2015
3.2,Junior Officer,ACT,57983,7/10/2015
3.3,Junior Officer,ACT,59394,7/10/2015
3.4,Junior Officer,ACT,60880,7/10/2015
4.1,Junior Officer,ACT,62802,7/10/2015
4.2,Junior Officer,ACT,64728,7/10/2015
4.3,Junior Officer,ACT,66354,7/10/2015
4.4,Junior Officer,ACT,68002,7/10/2015
5.1,Officer,ACT,69797,7/10/2015
5.2,Officer,ACT,71913,7/10/2015
5.3,Officer,ACT,73881,7/10/2015
6.1,Senior Officer,ACT,75209,7/10/2015
6.2,Senior Officer,ACT,77031,7/10/2015
6.3,Senior Officer,ACT,79080,7/10/2015
6.4,Senior Officer,ACT,82947,7/10/2015
6.5,Senior Officer,ACT,86075,7/10/2015
