"Occ_Class","Jurisdiction","Date","Min","Max","Mean"
"Economist","National",2014-05-16,88238.2469985,88238.2469985,88238.2469985
"Economist","National",2016-05-20,121183.996320643,121183.996320643,121183.996320643
"Economist","National",2018-05-18,129373.2726651,129373.2726651,129373.2726651
"Economist","National",2021-05-21,96361.8504954857,96361.8504954857,96361.8504954857
"Executive","WA",2015-06-13,148756.556942,196318.707207,170542.185683286
"Executive","WA",2016-06-12,148739.797346,196296.589041,170522.971618429
"Executive","WA",2016-06-13,152457.938171,201203.523191,174785.861627857
"Executive","WA",2017-06-12,152429.759328,201166.334688,174753.555908571
"Executive","WA",2017-06-13,153441.311328,202177.886688,175765.107908571
"Executive","WA",2018-06-12,153409.456638,202135.914198,175728.618758571
"Executive","WA",2018-06-13,154420.798638,203147.256198,176739.960758571
"Executive","WA",2019-06-12,154397.284532,203116.322372,176713.048048571
"Executive","WA",2019-06-13,155408.472532,204127.510372,177724.236048571
"Executive","WA",2020-06-12,155412.622135,204132.960835,177728.981510714
"Executive","WA",2020-06-13,156423.991824,205144.378704,178740.373268571
"Executive","WA",2021-06-12,156376.966368,205082.706528,178686.63888
"Executive","WA",2021-06-13,157387.722679,206093.414659,179697.373122143
"Executive","WA",2022-06-12,157293.219456,205969.666176,179589.474102857
"Executive","WA",2022-06-13,162011.86836,212148.055485,184976.587404857
"Executive","WA",2022-12-01,161963.6,212084.85,184921.477142857
"Junior Officer","ACT",2015-04-09,44894.487792,68812.039824,56267.8429538823
"Junior Officer","ACT",2015-10-07,44890.583584,68806.055648,56262.9496724706
"Junior Officer","ACT",2015-10-08,45563.446544,69838.116128,57106.9299265882
"Junior Officer","ACT",2016-04-06,45561.735366,69835.493292,57104.7852222353
"Junior Officer","ACT",2016-04-07,46244.690916,70882.691802,57961.2323128235
"Junior Officer","ACT",2016-10-05,46239.754668,70875.125646,57955.0454184706
"Junior Officer","ACT",2016-10-06,46933.719384,71938.328116,58824.3757378824
"Junior Officer","ACT",2017-04-05,46928.894616,71930.932884,58818.3286150588
"Junior Officer","ACT",2017-04-06,47632.902336,73010.2091,59700.5992705882
"Junior Officer","ACT",2017-10-04,47629.888704,73005.5899,59696.8221411765
"Junior Officer","ACT",2017-10-05,48701.075676,74648.278892,61040.1047651765
"Junior Officer","ACT",2018-06-13,48693.083274,74636.028258,61030.0873877647
"Junior Officer","ACT",2018-06-14,48936.865084,75009.287624,61335.2758655882
"Junior Officer","ACT",2018-12-12,48933.865028,75004.689208,61331.5157297059
"Junior Officer","ACT",2018-12-13,49594.231521,76016.981489,62159.5169202353
"Junior Officer","ACT",2019-06-12,49589.670708,76009.990772,62153.8005712941
"Junior Officer","ACT",2019-06-13,50259.077164,77036.346592,62992.7892030588
"Junior Officer","ACT",2019-12-11,50254.106864,77028.728192,62986.5596207059
"Junior Officer","ACT",2019-12-12,50932.496538,78068.049444,63836.7620161765
"Junior Officer","ACT",2020-06-10,50938.94441,78077.93258,63844.8435220588
"Junior Officer","ACT",2020-06-11,51626.57061,79131.61861,64706.636635
