Grade,Classification,Jurisdiction,10/08/2022,10/08/2021,20/08/2020,22/08/2019,23/08/2018,10/08/2017,11/08/2016,13/08/2015,14/08/2014
1.1,Junior Officer,NT,"53,184 ","55,184 ","51,184 ","49,936","48,718","47,530","46,371","45,020","43,709"
1.2,Junior Officer,NT,"53,940 ","55,940 ","51,940 ","50,673","49,437","48,231","47,055","45,684","44,353"
1.3,Junior Officer,NT,"54,690 ","56,690 ","52,690 ","51,405","50,151","48,928","47,735","46,345","44,995"
1.4,Junior Officer,NT,"55,450 ","57,450 ","53,450 ","52,146","50,874","49,633","48,422","47,012","45,643"
1.5,Junior Officer,NT,"56,428 ","58,428 ","54,428 ","53,100","51,805","50,541","49,308","47,872","46,478"
1.6,Junior Officer,NT,"57,556 ","59,556 ","55,556 ","54,201","52,879","51,589","50,331","48,865","47,442"
2.1,Junior Officer,NT,"58,261 ","60,261 ","56,261 ","54,889","53,550","52,244","50,970","49,485","48,044"
2.2,Junior Officer,NT,"59,710 ","61,710 ","57,710 ","56,302","54,929","53,589","52,282","50,759","49,281"
2.3,Junior Officer,NT,"60,868 ","62,868 ","58,868 ","57,432","56,031","54,664","53,331","51,778","50,270"
2.4,Junior Officer,NT,"62,045 ","64,045 ","60,045 ","58,580","57,151","55,757","54,397","52,813","51,275"
2.5,Junior Officer,NT,"63,252 ","65,252 ","61,252 ","59,758","58,300","56,878","55,491","53,875","52,306"
3.1,Junior Officer,NT,"64,773 ","66,773 ","62,773 ","61,242","59,748","58,291","56,869","55,213","53,605"
3.2,Junior Officer,NT,"65,987 ","67,987 ","63,987 ","62,426","60,903","59,418","57,969","56,281","54,642"
3.3,Junior Officer,NT,"67,225 ","69,225 ","65,225 ","63,634","62,082","60,568","59,091","57,370","55,699"
3.4,Junior Officer,NT,"69,746 ","71,746 ","67,746 ","66,094","64,482","62,909","61,375","59,587","57,851"
4.1,Officer,NT,"73,091 ","75,091 ","71,091 ","69,357","67,665","66,015","64,405","62,529","60,708"
4.2,Officer,NT,"74,408 ","76,408 ","72,408 ","70,642","68,919","67,238","65,598","63,687","61,832"
4.3,Officer,NT,"76,672 ","78,672 ","74,672 ","72,851","71,074","69,340","67,649","65,679","63,766"
4.4,Officer,NT,"78,938 ","80,938 ","76,938 ","75,061","73,230","71,444","69,701","67,671","65,700"
4.5,Officer,NT,"81,200 ","83,200 ","79,200 ","77,268","75,383","73,544","71,750","69,660","67,631"
4.6,Officer,NT,"83,611 ","85,611 ","81,611 ","79,620","77,678","75,783","73,935","71,782","69,691"
5.1,Officer,NT,"86,297 ","88,297 ","84,297 ","82,241","80,235","78,278","76,369","74,145","71,985"
5.2,Officer,NT,"88,492 ","90,492 ","86,492 ","84,382","82,324","80,316","78,357","76,075","73,859"
5.3,Officer,NT,"90,687 ","92,687 ","88,687 ","86,524","84,414","82,355","80,346","78,006","75,734"
6.1,Senior Officer,NT,"94,620 ","96,620 ","92,620 ","90,361","88,157","86,007","83,909","81,465","79,092"
6.2,Senior Officer,NT,"98,260 ","100,260 ","96,260 ","93,912","91,621","89,386","87,206","84,666","82,200"
6.3,Senior Officer,NT,"101,899 ","103,899 ","99,899 ","97,462","95,085","92,766","90,503","87,867","85,308"
6.4,Senior Officer,NT,"105,538 ","107,538 ","103,538 ","101,013","98,549","96,145","93,800","91,068","88,416"
7.1,Senior Officer,NT,"111,514 ","113,514 ","109,514 ","106,843","104,237","101,695","99,215","96,325","93,519"
7.2,Senior Officer,NT,"115,664 ","117,664 ","113,664 ","110,892","108,187","105,548","102,974","99,975","97,063"
7.3,Senior Officer,NT,"119,815 ","121,815 ","117,815 ","114,941","112,138","109,403","106,735","103,626","100,608"
S1.1,Principal Officer,NT,"125,559 ","127,559 ","123,559 ","120,545","117,605","114,737","111,939","108,679","105,514"
S1.2,Principal Officer,NT,"132,369 ","134,369 ","130,369 ","127,189","124,087","121,060","118,107","114,667","111,327"
S1.3,Principal Officer,NT,"140,034 ","142,034 ","138,034 ","134,667","131,382","128,178","125,052","121,410","117,874"
S2.1,Manager,NT,"144,543 ","146,543 ","142,543 ","139,066","135,674","132,365","129,137","125,376","121,724"
S2.2,Manager,NT,"150,815 ","152,815 ","148,815 ","145,185","141,644","138,189","134,819","130,892","127,080"
S2.3,Manager,NT,"157,362 ","159,362 ","155,362 ","151,573","147,876","144,269","140,750","136,650","132,670"
EO2,Specialist,NT,"160,344 ","162,344 ","158,344 ","154,482","150,714","147,038","143,452","139,274","135,217"
EO3,Specialist,NT,"171,580 ","173,580 ","169,580 ","165,444","161,409","157,472","153,631","149,156","144,812"
