Grade,Classification,Jurisdiction,9/06/2022,9/12/2021,10/06/2021,10/06/2021,10/12/2020,11/06/2020,12/12/2019,13/06/2019,13/12/2018,14/06/2018,5/10/2017,6/04/2017,6/04/2017,6/10/2016,7/04/2016,8/10/2015,9/04/2015
1.1,Junior Officer,ACT,53868,53150,52442,52442,51743,51054,50374,49703,49041,48388,48147,47088,47088,46392,45706,45031,44366
1.2,Junior Officer,ACT,55585,54845,54114,54114,53393,52682,51980,51288,50605,49931,49683,48590,48590,47872,47165,46468,45781
1.3,Junior Officer,ACT,57027,56267,55518,55518,54778,54048,53328,52618,51917,51225,50970,49848,49848,49111,48385,47670,46966
1.4,Junior Officer,ACT,59258,58469,57690,57690,56922,56164,55416,54678,53950,53231,52966,51800,51800,51034,50280,49537,48805
2.1,Junior Officer,ACT,60620,59813,59016,59016,58230,57454,56689,55934,55189,54454,54183,52991,52991,52208,51436,50676,49927
2.2,Junior Officer,ACT,62216,61387,60569,60569,59762,58966,58181,57406,56641,55887,55609,54385,54385,53581,52789,52009,51240
2.3,Junior Officer,ACT,63781,62931,62093,62093,61266,60450,59645,58851,58067,57294,57009,55755,55755,54931,54119,53319,52531
2.4,Junior Officer,ACT,65367,64496,63637,63637,62789,61953,61128,60314,59511,58718,58426,57140,57140,56296,55464,54644,53836
2.5,Junior Officer,ACT,66939,66047,65167,65167,64299,63443,62598,61764,60941,60129,59830,58513,58513,57648,56796,55957,55130
3.1,Junior Officer,ACT,68685,67770,66867,66867,65976,65097,64230,63374,62530,61697,61390,60039,60039,59152,58278,57417,56568
3.2,Junior Officer,ACT,70403,69465,68540,68540,67627,66726,65837,64960,64095,63241,62926,61541,61541,60632,59736,58853,57983
3.3,Junior Officer,ACT,72115,71154,70206,70206,69271,68348,67438,66540,65654,64779,64457,63039,63039,62107,61189,60285,59394
3.4,Junior Officer,ACT,73920,72935,71963,71963,71004,70058,69125,68204,67296,66400,66070,64616,64616,63661,62720,61793,60880
4.1,Junior Officer,ACT,76255,75239,74237,74237,73248,72272,71309,70359,69422,68497,68156,66656,66656,65671,64700,63744,62802
4.2,Junior Officer,ACT,78591,77544,76511,76511,75492,74486,73494,72515,71549,70596,70245,68699,68699,67684,66684,65699,64728
4.3,Junior Officer,ACT,80566,79493,78434,78434,77389,76358,75341,74337,73347,72370,72010,70425,70425,69384,68359,67349,66354
4.4,Junior Officer,ACT,82566,81466,80381,80381,79310,78254,77212,76184,75169,74168,73799,72175,72175,71108,70057,69022,68002
5.1,Officer,ACT,84749,83620,82506,82506,81407,80323,79253,78197,77155,76127,75748,74081,74081,72986,71907,70844,69797
5.2,Officer,ACT,87315,86152,85004,85004,83872,82755,81653,80565,79492,78433,78043,76326,76326,75198,74087,72992,71913
5.3,Officer,ACT,89705,88510,87331,87331,86168,85020,83888,82771,81668,80580,80179,78415,78415,77256,76114,74989,73881
6.1,Senior Officer,ACT,91315,90099,88899,88899,87715,86547,85394,84257,83135,82028,81620,79824,79824,78644,77482,76337,75209
6.2,Senior Officer,ACT,93530,92284,91055,91055,89842,88645,87464,86299,85149,84015,83597,81757,81757,80549,79359,78186,77031
6.3,Senior Officer,ACT,96016,94737,93475,93475,92230,91001,89789,88593,87413,86249,85820,83932,83932,82692,81470,80266,79080
6.4,Senior Officer,ACT,100714,99372,98048,98048,96742,95453,94182,92927,91689,90468,90018,88037,88037,86736,85454,84191,82947
6.5,Senior Officer,ACT,104509,103117,101743,101743,100388,99051,97732,96430,95146,93879,93412,91356,91356,90006,88676,87366,86075
SOGC1,Principal Officer,ACT,114928,113397,111887,111887,110397,108926,107475,106043,104630,103236,102722,100462,100462,98977,97514,96073,94653
SOGC2,Principal Officer,ACT,123710,122062,120436,120436,118832,117249,115687,114146,112626,111126,110573,108140,108140,106542,104967,103416,101888
SOGB1,Manager,ACT,135355,133552,131773,131773,130018,128286,126577,124891,123227,121586,120981,118319,118319,116570,114847,113150,111478
SOGB2,Manager,ACT,142352,140456,138585,138585,136739,134918,133121,131348,129598,127872,127236,124436,124436,122597,120785,119000,117241
SOGB3,Manager,ACT,152377,150347,148344,148344,146368,144418,142494,140596,138723,136875,136194,133197,133197,131229,129290,127379,125497
SOGA1,Manager,ACT,157201,155107,153041,153041,151002,148991,147006,145048,143116,141210,140507,137415,137415,135384,133383,131412,129470
