Date,SAdj_CPI_Index,Daily_CPI,Inflator
1/04/2012,89.8,0.006%,125.83%
2/04/2012,NA,0.006%,125.82%
3/04/2012,NA,0.006%,125.82%
4/04/2012,NA,0.006%,125.81%
5/04/2012,NA,0.006%,125.81%
6/04/2012,NA,0.006%,125.80%
7/04/2012,NA,0.006%,125.79%
8/04/2012,NA,0.006%,125.79%
9/04/2012,NA,0.006%,125.78%
10/04/2012,NA,0.006%,125.78%
11/04/2012,NA,0.006%,125.77%
12/04/2012,NA,0.006%,125.76%
13/04/2012,NA,0.006%,125.76%
14/04/2012,NA,0.006%,125.75%
15/04/2012,NA,0.006%,125.75%
16/04/2012,NA,0.006%,125.74%
17/04/2012,NA,0.006%,125.73%
18/04/2012,NA,0.006%,125.73%
19/04/2012,NA,0.006%,125.72%
20/04/2012,NA,0.006%,125.72%
21/04/2012,NA,0.006%,125.71%
22/04/2012,NA,0.006%,125.70%
23/04/2012,NA,0.006%,125.70%
24/04/2012,NA,0.006%,125.69%
25/04/2012,NA,0.006%,125.69%
26/04/2012,NA,0.006%,125.68%
27/04/2012,NA,0.006%,125.67%
28/04/2012,NA,0.006%,125.67%
29/04/2012,NA,0.006%,125.66%
30/04/2012,NA,0.006%,125.66%
1/05/2012,NA,0.006%,125.65%
2/05/2012,NA,0.006%,125.64%
3/05/2012,NA,0.006%,125.64%
4/05/2012,NA,0.006%,125.63%
5/05/2012,NA,0.006%,125.63%
6/05/2012,NA,0.006%,125.62%
7/05/2012,NA,0.006%,125.61%
8/05/2012,NA,0.006%,125.61%
9/05/2012,NA,0.006%,125.60%
10/05/2012,NA,0.006%,125.60%
11/05/2012,NA,0.006%,125.59%
12/05/2012,NA,0.006%,125.58%
13/05/2012,NA,0.006%,125.58%
14/05/2012,NA,0.006%,125.57%
15/05/2012,NA,0.006%,125.57%
16/05/2012,NA,0.006%,125.56%
17/05/2012,NA,0.006%,125.55%
18/05/2012,NA,0.006%,125.55%
19/05/2012,NA,0.006%,125.54%
20/05/2012,NA,0.006%,125.54%
21/05/2012,NA,0.006%,125.53%
22/05/2012,NA,0.006%,125.52%
23/05/2012,NA,0.006%,125.52%
24/05/2012,NA,0.006%,125.51%
25/05/2012,NA,0.006%,125.51%
26/05/2012,NA,0.006%,125.50%
27/05/2012,NA,0.006%,125.49%
