Grade,Classification,Jurisdiction,1/07/2022,1/07/2021,1/07/2020,1/07/2019,1/07/2018,1/07/2017,1/07/2016,1/07/2015
1.1,Junior Officer,NSW,"67,975","66,298","64,973","64,779","63,199","61,658","60,154","58,687"
1.2,Junior Officer,NSW,"69,973","68,246","66,882","66,682","65,056","63,469","61,921","60,411"
2.1,Junior Officer,NSW,"71,926","70,151","68,749","68,543","66,871","65,240","63,649","62,097"
2.2,Junior Officer,NSW,"73,901","72,077","70,636","70,425","68,707","67,031","65,396","63,801"
3.1,Junior Officer,NSW,"75,992","74,117","72,635","72,418","70,652","68,929","67,248","65,608"
3.2,Junior Officer,NSW,"78,285","76,353","74,827","74,603","72,783","71,008","69,276","67,586"
4.1,Junior Officer,NSW,"80,728","78,736","77,162","76,931","75,055","73,224","71,438","69,696"
4.2,Junior Officer,NSW,"83,211","81,158","79,535","79,297","77,363","75,476","73,635","71,839"
5.1,Officer,NSW,"89,707","87,493","85,744","85,488","83,403","81,369","79,384","77,448"
5.2,Officer,NSW,"92,536","90,253","88,449","88,184","86,033","83,935","81,888","79,891"
6.1,Officer,NSW,"96,164","93,791","91,916","91,641","89,406","87,225","85,098","83,022"
6.2,Officer,NSW,"98,982","96,540","94,610","94,327","92,026","89,781","87,591","85,455"
7.1,Officer,NSW,"101,947","99,431","97,443","97,152","94,782","92,470","90,215","88,015"
7.2,Officer,NSW,"104,994","102,403","100,356","100,056","97,616","95,235","92,912","90,646"
8.1,Officer,NSW,"109,371","106,672","104,539","104,226","101,684","99,204","96,784","94,423"
8.2,Officer,NSW,"112,849","110,064","107,864","107,541","104,918","102,359","99,862","97,426"
9.1,Senior Officer,NSW,"116,211","113,343","111,077","110,745","108,044","105,409","102,838","100,330"
9.2,Senior Officer,NSW,"119,479","116,531","114,201","113,859","111,082","108,373","105,730","103,151"
10.1,Senior Officer,NSW,"124,357","121,288","118,863","118,507","115,617","112,797","110,046","107,362"
10.2,Senior Officer,NSW,"128,061","124,901","122,404","122,038","119,061","116,157","113,324","110,560"
11.1,Manager,NSW,"134,411","131,094","128,473","128,089","124,965","121,917","118,943","116,042"
11.2,Manager,NSW,"140,109","136,652","133,920","133,519","130,262","127,085","123,985","120,961"
12.1,Manager,NSW,"148,885","145,211","142,308","141,882","138,421","135,045","131,751","128,538"
12.2,Manager,NSW,"155,445","151,609","148,578","148,134","144,521","140,996","137,557","134,202"
