Grade,Classification,Jurisdiction,1/12/2014,1/12/2015,1/12/2016,1/12/2017,1/12/2018,19/08/2019,1/12/2019,1/12/2020,1/12/2021,1/12/2022,23/12/2022,1/12/2023,1/12/2024
1.1.1,Junior Officer,Tasmania,39511,40511,41655,42822,43721,43896,44838,45869,"46,947","50,143","51,143",52147,53696
1.1.3,Junior Officer,Tasmania,42480,43480,44624,45791,46753,46940,47948,49051,"50,204","53,514","54,514",55619,57273
1.2.2,Junior Officer,Tasmania,45445,46445,47589,48756,49780,49979,51052,52226,"53,453","56,876","57,876",59082,60839
1.2.4,Junior Officer,Tasmania,48233,49233,50377,51544,52626,52837,53971,55212,"56,509","60,039","61,039",62340,64195
1.2.5,Junior Officer,Tasmania,48969,49969,51113,52280,53378,53591,54742,56001,"57,317","60,876","61,876",63202,65083
2.1.2,Junior Officer,Tasmania,50767,51782,52926,54093,55229,55450,56640,57943,"59,305","62,933","63,933",65321,67266
2.1.3,Junior Officer,Tasmania,51740,52775,53919,55086,56243,56469,57681,59008,"60,395","64,061","65,061",66483,68462
2.1.4,Junior Officer,Tasmania,52761,53816,54960,56127,57306,57535,58770,60122,"61,535","65,241","66,241",67698,69714
2.1.5,Junior Officer,Tasmania,54099,55181,56325,57492,58699,58934,60199,61584,"63,031","66,790","67,790",69294,71358
2.1.6,Junior Officer,Tasmania,54913,56011,57155,58322,59547,59786,61069,62474,"63,942","67,733","68,733",70265,72358
3.1.2,Junior Officer,Tasmania,57249,58394,59562,60753,62029,62277,63614,65077,"66,606","70,490","71,490",73105,75283
3.1.3,Junior Officer,Tasmania,58394,59562,60753,61968,63269,63522,64886,66378,"67,938","71,868","72,868",74524,76745
3.1.4,Junior Officer,Tasmania,59521,60711,61925,63164,64490,64748,66138,67659,"69,249","73,225","74,225",75922,78185
3.1.5,Junior Officer,Tasmania,61067,62288,63534,64805,66166,66430,67857,69418,"71,049","75,088","76,088",77841,80161
3.1.6,Junior Officer,Tasmania,61985,63225,64490,65780,67161,67430,68878,70462,"72,118","76,195","77,195",78981,81335
