Grade,Classification,Jurisdiction,1/03/2023,1/06/2022,1/09/2021,1/12/2020,20/03/2020,1/07/2019,1/07/2019,1/01/2019,1/01/2019,1/07/2018,1/01/2018,1/07/2017,1/01/2017,1/07/2016,1/01/2016
1.1.1,Junior Officer,Victoria,"51,353","50,594","49,969","49,231","48,623","47,904","47,904","47,196","47,196","46,384","45,699","44,913","44,249","43,488","42,845"
1.1.2,Junior Officer,Victoria,"52,404","51,630","50,993","50,239","49,619","48,886","48,886","48,164","48,164","47,336","46,636","45,834","45,157","44,380","43,724"
1.1.3,Junior Officer,Victoria,"53,459","52,669","52,019","51,250","50,617","49,869","49,869","49,132","49,132","48,287","47,573","46,755","46,064","45,272","44,603"
1.1.4,Junior Officer,Victoria,"54,514","53,708","53,045","52,261","51,616","50,853","50,853","50,101","50,101","49,239","48,511","47,677","46,972","46,164","45,482"
2.1.1,Junior Officer,Victoria,"56,271","55,439","54,755","53,946","53,280","52,493","52,493","51,717","51,717","50,828","50,077","49,216","48,489","47,655","46,951"
2.1.2,Junior Officer,Victoria,"57,414","56,566","55,868","55,042","54,362","53,559","53,559","52,767","52,767","51,859","51,093","50,214","49,472","48,621","47,902"
2.1.3,Junior Officer,Victoria,"58,555","57,690","56,978","56,136","55,443","54,624","54,624","53,817","53,817","52,891","52,109","51,213","50,456","49,588","48,855"
2.1.4,Junior Officer,Victoria,"59,701","58,819","58,093","57,234","56,527","55,692","55,692","54,869","54,869","53,925","53,128","52,214","51,442","50,557","49,810"
2.1.5,Junior Officer,Victoria,"60,839","59,940","59,200","58,325","57,605","56,754","56,754","55,915","55,915","54,953","54,141","53,210","52,424","51,522","50,761"
2.1.6,Junior Officer,Victoria,"61,984","61,068","60,314","59,423","58,689","57,822","57,822","56,967","56,967","55,987","55,160","54,211","53,410","52,491","51,715"
2.1.7,Junior Officer,Victoria,"63,126","62,193","61,425","60,517","59,770","58,887","58,887","58,017","58,017","57,019","56,176","55,210","54,394","53,458","52,668"
